,극혐,조기축구,축구볼때,학교에서
2호님,0.0,0.0,0.0,0.13221334620254613
3호님,0.0,0.0,0.0,0.13221334620254613
3호스타그램,0.11735005146842682,0.0,0.0,0.0
가지,0.0,0.0,0.24429905418009862,0.0
감사,0.0,0.11927796598515954,0.0,0.0
감상,0.0,0.0,0.12214952709004931,0.0
개가,0.0,0.0,0.12214952709004931,0.0
개공감,0.23470010293685364,0.0,0.0,0.0
개그맨,0.0,0.0,0.24429905418009862,0.0
개꿀,0.11735005146842682,0.0,0.0,0.0
개꿀잼컨텐츠,0.11735005146842682,0.0,0.0,0.0
개빡,0.23470010293685364,0.0,0.0,0.0
개빡침,0.23470010293685364,0.0,0.0,0.0
개웃기,0.0,0.1880802368488434,0.19260818036525776,0.0
개인적,0.0,0.11927796598515954,0.0,0.0
거지,0.0,0.11927796598515954,0.0,0.0
겠다,0.11735005146842682,0.0,0.0,0.0
겠다능,0.11735005146842682,0.0,0.0,0.0
경기,0.0,0.23855593197031907,0.0,0.0
경험,0.0,0.0,0.0,0.13221334620254613
공감,0.18504025695032195,0.1880802368488434,0.0,0.0
구독자,0.11735005146842682,0.0,0.0,0.0
군데,0.0,0.11927796598515954,0.0,0.0
군포,0.23470010293685364,0.0,0.0,0.0
귀감,0.11735005146842682,0.0,0.0,0.0
그램,0.11735005146842682,0.0,0.0,0.0
김뮐러,0.0,0.23855593197031907,0.0,0.0
김진짜,0.09252012847516097,0.0,0.0,0.10423852076521367
다양성,0.0,0.0,0.12214952709004931,0.0
대가,0.0,0.23855593197031907,0.0,0.0
더티,0.0,0.11927796598515954,0.0,0.0
덕분,0.11735005146842682,0.0,0.0,0.0
듯이,0.11735005146842682,0.0,0.0,0.0
디테일,0.0,0.0,0.0,0.13221334620254613
라마,0.0,0.11927796598515954,0.0,0.0
라이브,0.0,0.0,0.12214952709004931,0.0
리드,0.0,0.11927796598515954,0.0,0.0
막내,0.0,0.11927796598515954,0.0,0.0
만큼,0.0,0.0,0.0,0.26442669240509226
말긔,0.11735005146842682,0.0,0.0,0.0
메시,0.0,0.0,0.0,0.26442669240509226
무근본,0.0,0.0,0.0,0.13221334620254613
문의,0.11735005146842682,0.0,0.0,0.0
미성년,0.0,0.11927796598515954,0.0,0.0
미성년자지,0.0,0.11927796598515954,0.0,0.0
미쳤엌,0.0,0.0,0.0,0.13221334620254613
바운드,0.0,0.0,0.0,0.13221334620254613
바탕,0.0,0.0,0.0,0.13221334620254613
박스,0.0,0.0,0.0,0.13221334620254613
배려,0.11735005146842682,0.0,0.0,0.0
백배,0.11735005146842682,0.0,0.0,0.0
백배내용,0.11735005146842682,0.0,0.0,0.0
분석,0.11735005146842682,0.0,0.0,0.0
분석도,0.11735005146842682,0.0,0.0,0.0
사람,0.0,0.11927796598515954,0.0,0.0
사랑,0.0,0.0940401184244217,0.09630409018262888,0.0
사회,0.0,0.11927796598515954,0.0,0.0
살벌,0.11735005146842682,0.0,0.0,0.0
상대,0.0,0.0,0.0,0.13221334620254613
상임,0.0,0.0,0.0,0.13221334620254613
상황,0.0,0.0940401184244217,0.0,0.10423852076521367
상황극,0.0,0.0,0.0,0.13221334620254613
생각,0.0,0.11927796598515954,0.0,0.0
생각밖,0.0,0.11927796598515954,0.0,0.0
설명,0.09252012847516097,0.0,0.09630409018262888,0.0
성향,0.0,0.11927796598515954,0.0,0.0
센스,0.0,0.0,0.12214952709004931,0.0
시간,0.18504025695032195,0.0,0.0,0.20847704153042734
시절,0.0,0.0940401184244217,0.0,0.10423852076521367
안내,0.0,0.23855593197031907,0.0,0.0
여기,0.23470010293685364,0.0,0.0,0.0
여자,0.0,0.0,0.0,0.26442669240509226
연기,0.09252012847516097,0.0,0.0,0.10423852076521367
영상,0.07490301774805173,0.0,0.07796646086690245,0.16878013248768078
예상,0.0,0.11927796598515954,0.0,0.0
예전,0.0,0.0940401184244217,0.09630409018262888,0.0
오랜만,0.0,0.0,0.12214952709004931,0.0
우리,0.18504025695032195,0.1880802368488434,0.0,0.0
우리팀,0.0,0.0,0.0,0.13221334620254613
웃기,0.0,0.0,0.12214952709004931,0.0
웃음,0.0,0.0,0.0,0.13221334620254613
웃음소리,0.0,0.0,0.09630409018262888,0.10423852076521367
원바운드,0.0,0.0,0.0,0.13221334620254613
원식이,0.0,0.0,0.24429905418009862,0.0
월드,0.0,0.0,0.24429905418009862,0.0
윗그물,0.0,0.0,0.0,0.13221334620254613
유니폼,0.0,0.0,0.24429905418009862,0.0
유튜버,0.0,0.0,0.12214952709004931,0.0
유형,0.0,0.0940401184244217,0.0,0.20847704153042734
이거,0.14980603549610347,0.15226716122134287,0.1559329217338049,0.0
이것,0.0,0.11927796598515954,0.0,0.0
이래,0.18504025695032195,0.1880802368488434,0.0,0.0
이분,0.23470010293685364,0.0,0.0,0.0
이젠,0.0,0.0,0.12214952709004931,0.0
이해,0.11735005146842682,0.0,0.0,0.0
이후,0.0,0.11927796598515954,0.0,0.0
인기,0.0,0.0,0.0,0.13221334620254613
일개,0.0,0.0,0.12214952709004931,0.0
일개가,0.0,0.0,0.12214952709004931,0.0
있음,0.0,0.0,0.0,0.13221334620254613
자기,0.23470010293685364,0.0,0.0,0.0
자씨,0.0,0.11927796598515954,0.0,0.0
자지,0.0,0.11927796598515954,0.0,0.0
재개,0.0,0.0,0.12214952709004931,0.0
재미,0.09252012847516097,0.0,0.09630409018262888,0.0
전문적,0.0,0.0,0.12214952709004931,0.0
정성,0.0,0.0,0.0,0.13221334620254613
정성룡급,0.0,0.0,0.0,0.13221334620254613
정확,0.11735005146842682,0.0,0.0,0.0
조기,0.0,0.11927796598515954,0.0,0.0
조기축구,0.0,0.23855593197031907,0.0,0.0
조직,0.0,0.11927796598515954,0.0,0.0
조축,0.0,0.11927796598515954,0.0,0.0
지금,0.0,0.0,0.12214952709004931,0.0
지시,0.0,0.0,0.12214952709004931,0.0
지시길,0.0,0.0,0.12214952709004931,0.0
지식,0.0,0.0,0.12214952709004931,0.0
진땈,0.0,0.0,0.12214952709004931,0.0
진솔,0.11735005146842682,0.0,0.0,0.0
진심,0.0,0.11927796598515954,0.0,0.0
진짜,0.07490301774805173,0.0,0.07796646086690245,0.08439006624384039
진짜형,0.0,0.0,0.12214952709004931,0.0
채널,0.0,0.0,0.12214952709004931,0.0
처형,0.0,0.0,0.12214952709004931,0.0
천년,0.0,0.23855593197031907,0.0,0.0
쳤엌,0.0,0.0,0.0,0.13221334620254613
초6때,0.0,0.0,0.0,0.13221334620254613
총무,0.0,0.11927796598515954,0.0,0.0
추억,0.0,0.11927796598515954,0.0,0.0
축구,0.07490301774805173,0.07613358061067144,0.07796646086690245,0.0
축구지식,0.0,0.0,0.12214952709004931,0.0
친구,0.11735005146842682,0.0,0.0,0.0
컨텐츠,0.09252012847516097,0.0,0.09630409018262888,0.0
키퍼,0.0,0.0,0.0,0.13221334620254613
토토충,0.0,0.0,0.24429905418009862,0.0
토토형,0.0,0.0,0.24429905418009862,0.0
튜버,0.0,0.0,0.12214952709004931,0.0
포물선,0.0,0.0,0.0,0.13221334620254613
하나,0.1224762500976635,0.12448838164395261,0.12748538106280524,0.13798881767093857
하핳,0.23470010293685364,0.0,0.0,0.0
학창,0.0,0.0,0.0,0.13221334620254613
학창시절때,0.0,0.0,0.0,0.13221334620254613
할거,0.0,0.11927796598515954,0.0,0.0
행복,0.0,0.0940401184244217,0.09630409018262888,0.0
형님,0.0,0.1880802368488434,0.09630409018262888,0.0
형수님,0.09252012847516097,0.0,0.09630409018262888,0.0
형의,0.0,0.0,0.24429905418009862,0.0
형형,0.11735005146842682,0.0,0.0,0.0
흥진중,0.0,0.0,0.0,0.26442669240509226
흥진중교복,0.0,0.0,0.0,0.26442669240509226
