,극혐,조기축구,축구볼때,학교에서
가발,0.0,0.0,0.12317438732440646,0.0
강두,0.10834359427917734,0.0,0.0,0.0
개그,0.0,0.0,0.057964417564426565,0.0
개그맨,0.04270966708892822,0.0,0.05712476574298213,0.0
건가,0.0,0.0,0.0,0.04913155961787483
경기,0.0,0.06531426160699516,0.05549690532626481,0.03136003807409728
계속,0.06762363955746968,0.0,0.0,0.045191866923007945
고생,0.0,0.0558149520295289,0.0,0.0
골키퍼,0.0,0.0,0.0,0.06550874615716644
공감,0.14605697032245626,0.08252524601473187,0.06805853483015467,0.08546295333419751
공부,0.0,0.0,0.0,0.06550874615716644
교복,0.0,0.0,0.0,0.26203498462866576
국룰,0.0,0.0,0.0,0.04913155961787483
그냥,0.05474716429215585,0.0,0.05087216321574275,0.052266730123495454
극혐,0.12640085999237355,0.0,0.0,0.0
기네,0.0,0.05867353237018781,0.06283724231728034,0.0
김진,0.07779860188885304,0.0,0.07399587376835308,0.04181338409879637
나이,0.0,0.08372242804429335,0.0,0.0
난폭,0.05417179713958867,0.0,0.0,0.0
남고,0.0,0.0,0.0,0.04913155961787483
남탓,0.08577201213768207,0.0,0.0,0.0
너희,0.0,0.08372242804429335,0.0,0.0
농구,0.0,0.0,0.0,0.09826311923574967
농구공,0.0,0.0,0.0,0.06550874615716644
대회,0.0,0.08372242804429335,0.0,0.0
댓글,0.0,0.0,0.07970107415108653,0.0
디테일,0.0,0.0,0.0,0.04913155961787483
때문,0.0,0.0,0.057964417564426565,0.0
라멜라,0.06320042999618677,0.0,0.0,0.0
레전드,0.0,0.0558149520295289,0.0,0.0
마드리드,0.0,0.0,0.12317438732440646,0.0
막걸리,0.0,0.07441993603937187,0.0,0.0
맨유,0.0,0.0,0.07245552195553322,0.0
목소리,0.0,0.0,0.0,0.1719604586625619
뮐러,0.0,0.07441993603937187,0.0,0.0
미모,0.0,0.0,0.0,0.12282889904468706
바바티,0.0,0.0,0.06520996975997989,0.0
바지,0.0,0.0,0.0,0.13101749231433288
배우,0.0,0.0,0.0,0.04913155961787483
베테,0.0,0.08372242804429335,0.0,0.0
보고,0.06124969723199779,0.07281639354241047,0.06049647540458193,0.059824067333938254
사과,0.0,0.0558149520295289,0.0,0.0
