,극혐,조기축구,축구볼때,학교에서
2호님,0.0,0.0,0.0,0.8594412809262055
3호님,0.11461291550838518,0.04340751389921308,0.1687176106541084,0.11432151919495835
4번,0.0,0.0,0.12124199760015757,0.0
7번,0.03565061491035776,0.0,0.03186286116960011,0.0
8번,0.0,0.05465098688575793,0.053104768616000185,0.0
가발,0.015278834961581897,0.0,0.1168304909552004,0.0
개공감,0.06459754933582182,0.0,0.0,0.0
개그맨,0.03710860107390045,0.035395747136269605,0.07738719654926786,0.0
거,0.0,0.06194255748847182,0.06878861915490476,0.03943969022505965
것,0.028862245279700355,0.16812979889728064,0.0,0.028683411072770656
경기,0.024739067382600302,0.05309362070440441,0.0,0.010756279152288996
골키퍼,0.030557669923163795,0.0,0.0,0.026572289315015176
공,0.053935489651004795,0.04340751389921308,0.02108970133176355,0.023450568039991456
공감,0.08090323447650719,0.09404961344829502,0.035149502219605916,0.03517585205998718
교복,0.0,0.0,0.0,0.11796252875457723
국룰,0.00412317789710005,0.0,0.042992886971815476,0.01792713192048166
극혐,0.18334601953898277,0.05465098688575793,0.0,0.0
근데,0.13565485360522578,0.0,0.0,0.0
김진따,0.1033560789373149,0.0,0.0,0.0
김진짜,0.067419362063756,0.02893834259947539,0.13356810843450248,0.03517585205998718
김진짜님,0.06184766845650076,0.0,0.10318292873235715,0.025097984688674326
끝,0.013483872412751199,0.02893834259947539,0.014059800887842366,0.005862642009997864
나이,0.020371779948775863,0.06558118426290953,0.0,0.0
난폭형,0.05813779440223963,0.0,0.0,0.0
날강두형,0.11627558880447926,0.0,0.0,0.0
내,0.11132580322170135,0.0,0.07738719654926786,0.04661054299325231
너희,0.0,0.11090855543834746,0.0,0.0
농구,0.010185889974387932,0.0,0.0,0.031001004200851036
누,0.0,0.0,0.04248381489280015,0.02214357442917931
댓글,0.0,0.0,0.06372572233920022,0.01771485954334345
더,0.12223067969265518,0.0874415790172127,0.0,0.0
뒤,0.030338712928690195,0.014469171299737694,0.014059800887842366,0.011725284019995728
드리블,0.012369533691300151,0.026546810352202205,0.0,0.007170852768192664
디테일,0.015278834961581897,0.0,0.0,0.031001004200851036
똑,0.0,0.035395747136269605,0.02579573218308929,0.021512558304577992
라멜라,0.09043656907015052,0.0,0.0,0.0
리얼,0.006741936206375599,0.014469171299737694,0.02108970133176355,0.008793963014996796
마지막,0.030338712928690195,0.014469171299737694,0.035149502219605916,0.008793963014996796
많,0.0,0.0,0.0849676297856003,0.05314457863003035
많이,0.1033560789373149,0.0,0.0,0.0
말,0.024739067382600302,0.0,0.06019004176054168,0.01792713192048166
맘,0.0164927115884002,0.017697873568134802,0.01719715478872619,0.0
맨,0.030557669923163795,0.0,0.053104768616000185,0.0
머리,0.0164927115884002,0.035395747136269605,0.042992886971815476,0.0
모습,0.0,0.017697873568134802,0.03439430957745238,0.010756279152288996
목소리,0.012369533691300151,0.0,0.03439430957745238,0.07170852768192663
못,0.07009402425070085,0.0,0.05159146436617858,0.04661054299325231
물,0.016854840515939,0.014469171299737694,0.014059800887842366,0.002931321004998932
뭐라,0.05167803946865745,0.0,0.0,0.0
미모,0.0,0.0,0.0,0.07864168583638481
바,0.040743559897551726,0.0,0.0,0.02214357442917931
바지,0.0,0.0,0.010620953723200037,0.03985843397252276
발,0.045836504884745694,0.021860394754303174,0.0,0.0
밥만,0.0,0.0,0.3233119936004201,0.0
뱃살,0.0,0.0,0.06372572233920022,0.013286144657507588
분,0.028862245279700355,0.0,0.05159146436617858,0.014341705536385328
빡,0.040743559897551726,0.0,0.0,0.004428714885835862
사람,0.07416129827013158,0.1519262986472458,0.04920930310744828,0.008793963014996796
사람들,0.045836504884745694,0.04372078950860635,0.0,0.0
사랑,0.010112904309563398,0.06511127084881962,0.0421794026635271,0.008793963014996796
산본중,0.13565485360522578,0.0,0.0,0.0
생각,0.030338712928690195,0.05064209954908193,0.04920930310744828,0.01465660502499466
선출,0.09676595475668535,0.021860394754303174,0.0,0.0
소리,0.049478134765200604,0.026546810352202205,0.01719715478872619,0.0
수,0.020615889485500253,0.0,0.03439430957745238,0.03943969022505965
슛,0.010185889974387932,0.0,0.0849676297856003,0.0
스타킹,0.07751705920298617,0.0,0.0,0.0
스푸닝,0.0,0.18022640258731465,0.0,0.0
실력,0.0164927115884002,0.017697873568134802,0.0,0.007170852768192664
실제,0.020615889485500253,0.05309362070440441,0.0,0.003585426384096332
심판,0.005092944987193966,0.0874415790172127,0.0,0.0
썸네일,0.06620828483352155,0.0,0.12745144467840044,0.0
썸넬,0.010185889974387932,0.0,0.09558858350880033,0.0
아내분,0.010185889974387932,0.0,0.07434667606240027,0.0
아빠,0.005092944987193966,0.0,0.09558858350880033,0.0
아저씨,0.015278834961581897,0.06558118426290953,0.0,0.0
아저씨들,0.020371779948775863,0.04372078950860635,0.0,0.0
아직,0.024739067382600302,0.04424468392033701,0.02579573218308929,0.0
안,0.14832259654026317,0.10128419909816386,0.11950830754666011,0.0732830251249733
앞,0.03710860107390045,0.017697873568134802,0.0,0.010756279152288996
애들,0.024739067382600302,0.017697873568134802,0.0,0.028683411072770656
양보형,0.07751705920298617,0.0,0.0,0.0
얼굴,0.015278834961581897,0.0,0.0,0.02214357442917931
엄청,0.0164927115884002,0.017697873568134802,0.0,0.025097984688674326
여자친구,0.0,0.0765113816400611,0.0,0.004428714885835862
연기,0.0,0.0,0.22304002818720078,0.1904347400909421
연기력,0.010112904309563398,0.03617292824934424,0.0843588053270542,0.03224453105498825
영상,0.16854840515938999,0.16639546994698348,0.18277741154195076,0.0732830251249733
옆,0.024739067382600302,0.0,0.08598577394363095,0.003585426384096332
오늘,0.053935489651004795,0.02893834259947539,0.04920930310744828,0.011725284019995728
완,0.015278834961581897,0.0,0.0,0.026572289315015176
왜,0.10112904309563399,0.1519262986472458,0.2530764159811626,0.061557741104977574
왼쪽,0.010185889974387932,0.0,0.06372572233920022,0.0
요즘,0.03565061491035776,0.0,0.0,0.013286144657507588
욕,0.03708064913506579,0.11575337039790155,0.07732890488313302,0.008793963014996796
용병,0.09167300976949139,0.032790592131454764,0.0,0.0
우리,0.0329854231768004,0.24777022995388728,0.12897866091544644,0.0
웃음,0.06459754933582182,0.0,0.0,0.0
웃음소리,0.11798388361157298,0.03617292824934424,0.028119601775684733,0.020519247034992524
위,0.013483872412751199,0.02170375694960654,0.02108970133176355,0.002931321004998932
유니폼,0.030557669923163795,0.0,0.1168304909552004,0.0
유튜브,0.0164927115884002,0.0,0.06878861915490476,0.010756279152288996
유형,0.07416129827013158,0.10851878474803271,0.13356810843450248,0.023450568039991456
이번,0.024739067382600302,0.0,0.03439430957745238,0.003585426384096332
이상,0.024739067382600302,0.026546810352202205,0.008598577394363096,0.0
일어,0.0,0.05465098688575793,0.04248381489280015,0.0
